date,supplier_id,supplier_name,region,product_category,lead_time_days,lead_time_std_days,reliability_score,geopolitical_risk_index,port_congestion_index,weather_risk_index,weather_risk_level,commodity_price_index,price_swing_pct,days_since_last_disruption,average_cost_per_unit,annual_volume_units,single_source,reliability_risk,lead_time_risk,lead_time_variability,geopolitical_risk,weather_risk,price_volatility,disruption_recency,composite_index,disrupted,target_disruption_7d,label_valid
2026-06-01,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,31.4,23.4,41.6,medium,100.66,0.0,999,247.18,50534,0,0.197,0.1,0.1222,0.29,0.416,0.0,0.0,17.2062,0,0,True
2026-06-02,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,29.0,14.0,32.9,low,101.27,0.0,999,247.18,50534,0,0.197,0.1,0.1222,0.245,0.329,0.0,0.0,15.1782,0,1,True
2026-06-03,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,32.1,7.3,35.4,low,101.42,0.0,999,247.18,50534,0,0.197,0.1,0.1222,0.2466,0.354,0.0,0.0,15.557,0,1,True
2026-06-04,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,41.2,11.6,47.5,medium,102.04,0.0,999,247.18,50534,0,0.197,0.1,0.1222,0.3232,0.475,0.0,0.0,18.6298,0,1,True
2026-06-05,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,35.5,15.3,37.8,low,102.39,1.7,999,247.18,50534,0,0.197,0.1,0.1222,0.2944,0.378,0.068,0.0,17.5694,0,1,True
2026-06-06,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.7,17.6,31.2,low,103.23,2.52,999,247.18,50534,0,0.197,0.1,0.1222,0.3167,0.312,0.1008,0.0,17.4404,0,1,True
2026-06-07,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.0,26.6,39.8,low,103.44,2.72,999,247.18,50534,0,0.197,0.1,0.1222,0.4088,0.398,0.1088,0.0,20.3982,0,1,True
2026-06-08,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,38.4,13.8,39.1,low,103.19,2.72,999,247.18,50534,0,0.197,0.1,0.1222,0.3102,0.391,0.1088,0.0,18.5254,0,1,True
2026-06-09,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,32.9,19.1,46.5,medium,103.42,2.72,999,247.18,50534,0,0.197,0.1,0.1222,0.2876,0.465,0.1088,0.0,19.1546,1,0,True
2026-06-10,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,32.2,29.7,46.0,medium,101.36,2.72,1,247.18,50534,0,0.197,0.1,0.1222,0.3145,0.46,0.1088,0.9672,35.0443,0,0,True
2026-06-11,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,31.2,24.5,52.3,medium,101.63,2.72,2,247.18,50534,0,0.197,0.1,0.1222,0.2919,0.523,0.1088,0.9355,35.0121,0,0,True
2026-06-12,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,36.7,24.1,40.9,medium,99.06,4.3,3,247.18,50534,0,0.197,0.1,0.1222,0.3292,0.409,0.172,0.9048,34.3552,0,0,True
2026-06-13,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,38.6,21.8,41.8,medium,97.85,5.5,4,247.18,50534,0,0.197,0.1,0.1222,0.3356,0.418,0.22,0.8752,34.6978,0,0,True
2026-06-14,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,30.7,19.0,40.6,medium,98.17,5.51,5,247.18,50534,0,0.197,0.1,0.1222,0.2719,0.406,0.2204,0.8465,32.9289,0,0,True
2026-06-15,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,52.9,19.7,30.5,low,98.5,5.53,6,247.18,50534,0,0.197,0.1,0.1222,0.4294,0.305,0.2212,0.8187,33.9155,0,0,True
2026-06-16,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,51.2,29.5,19.6,low,97.69,5.7,7,247.18,50534,0,0.197,0.1,0.1222,0.4469,0.196,0.228,0.7919,32.3567,0,0,True
2026-06-17,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,58.5,40.0,32.3,low,97.18,6.21,8,247.18,50534,0,0.197,0.1,0.1222,0.5295,0.323,0.2484,0.7659,35.4509,0,0,True
2026-06-18,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,55.8,37.5,32.2,low,98.15,6.22,9,247.18,50534,0,0.197,0.1,0.1222,0.5031,0.322,0.2488,0.7408,34.5647,0,0,True
2026-06-19,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,53.4,47.2,26.0,low,97.81,6.23,10,247.18,50534,0,0.197,0.1,0.1222,0.5154,0.26,0.2492,0.7165,33.5343,0,0,True
2026-06-20,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,57.0,45.5,29.8,low,99.39,6.24,11,247.18,50534,0,0.197,0.1,0.1222,0.5355,0.298,0.2496,0.693,34.0571,0,0,True
2026-06-21,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,61.0,53.2,44.1,medium,99.39,6.24,12,247.18,50534,0,0.197,0.1,0.1222,0.5866,0.441,0.2496,0.6703,36.6153,0,0,True
2026-06-22,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,63.0,50.0,23.2,low,99.67,6.24,13,247.18,50534,0,0.197,0.1,0.1222,0.591,0.232,0.2496,0.6483,33.4169,0,0,True
2026-06-23,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,54.6,48.4,14.8,low,100.81,6.24,14,247.18,50534,0,0.197,0.1,0.1222,0.5274,0.148,0.2496,0.6271,30.756,0,0,True
2026-06-24,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,57.9,48.3,13.8,low,100.9,6.24,15,247.18,50534,0,0.197,0.1,0.1222,0.5502,0.138,0.2496,0.6065,30.6975,0,0,True
2026-06-25,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,53.3,63.1,35.1,low,100.2,6.24,16,247.18,50534,0,0.197,0.1,0.1222,0.5624,0.351,0.2496,0.5866,33.581,0,0,True
2026-06-26,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,55.4,63.3,40.2,medium,100.12,6.24,17,247.18,50534,0,0.197,0.1,0.1222,0.5777,0.402,0.2496,0.5674,34.2626,0,0,True
2026-06-27,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,49.4,55.4,48.5,medium,100.1,6.24,18,247.18,50534,0,0.197,0.1,0.1222,0.512,0.485,0.2496,0.5488,33.9444,0,0,True
2026-06-28,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,53.1,57.4,37.1,low,99.14,6.24,19,247.18,50534,0,0.197,0.1,0.1222,0.5439,0.371,0.2496,0.5308,32.6347,0,1,True
2026-06-29,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,32.3,52.1,28.7,low,98.95,6.24,20,247.18,50534,0,0.197,0.1,0.1222,0.3824,0.287,0.2496,0.5134,28.2733,0,1,True
2026-06-30,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,27.7,47.0,36.9,low,98.43,6.25,21,247.18,50534,0,0.197,0.1,0.1222,0.3349,0.369,0.25,0.4966,28.3018,0,1,True
2026-07-01,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,33.2,50.0,39.5,low,99.08,6.25,22,247.18,50534,0,0.197,0.1,0.1222,0.3824,0.395,0.25,0.4803,29.2603,0,1,True
2026-07-02,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,35.7,47.9,45.9,medium,99.11,6.26,23,247.18,50534,0,0.197,0.1,0.1222,0.3936,0.459,0.2504,0.4646,30.1108,0,1,True
2026-07-03,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,33.7,47.4,44.0,medium,98.91,6.26,24,247.18,50534,0,0.197,0.1,0.1222,0.3781,0.44,0.2504,0.4493,29.3221,0,1,True
2026-07-04,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,41.8,45.6,46.8,medium,98.83,6.27,25,247.18,50534,0,0.197,0.1,0.1222,0.4294,0.468,0.2508,0.4346,30.4066,0,1,True
2026-07-05,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,39.8,45.8,47.8,medium,98.99,6.28,26,247.18,50534,0,0.197,0.1,0.1222,0.416,0.478,0.2512,0.4204,30.0822,1,0,True
2026-07-06,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,40.3,46.4,54.3,medium,99.42,6.28,1,247.18,50534,0,0.197,0.1,0.1222,0.4213,0.543,0.2512,0.9672,39.8375,0,0,True
