month,GPR,GPRC_KOR,GPRC_CHN,GPRC_MYS,GPRC_SAU,GPRC_NLD,GPRC_BEL,GPRC_DEU,GPRC_FRA,GPRC_USA,GPRC_EGY,GPRC_TWN,GPRC_GBR,GPRC_ESP,GPRC_IDN,GPRC_ISR,GPRC_TUR
2019-01,87.42,0.46,0.93,0.02,0.31,0.11,0.21,0.37,0.36,2.25,0.17,0.03,0.78,0.1,0.04,0.24,0.41
2019-02,96.8,0.51,1.07,0.0,0.27,0.15,0.33,0.58,0.62,2.43,0.03,0.01,1.02,0.18,0.02,0.24,0.3
2019-03,82.33,0.55,0.77,0.03,0.24,0.11,0.18,0.31,0.33,1.88,0.05,0.05,0.71,0.06,0.03,0.15,0.26
2019-04,79.25,0.41,0.56,0.01,0.33,0.05,0.08,0.26,0.51,1.94,0.29,0.04,0.81,0.08,0.04,0.24,0.26
2019-05,106.47,0.55,1.17,0.06,0.58,0.07,0.18,0.55,0.51,2.78,0.14,0.06,1.31,0.12,0.16,0.3,0.32
2019-06,106.59,0.42,1.29,0.08,0.71,0.08,0.19,0.63,0.54,2.87,0.09,0.09,0.99,0.07,0.04,0.38,0.28
2019-07,93.52,0.36,0.76,0.02,0.33,0.04,0.19,0.52,0.58,2.38,0.16,0.06,1.23,0.1,0.03,0.18,0.34
2019-08,103.4,0.48,1.22,0.0,0.25,0.03,0.15,0.58,0.5,2.75,0.06,0.08,1.15,0.06,0.01,0.28,0.15
2019-09,90.37,0.33,0.73,0.02,0.9,0.09,0.1,0.41,0.58,2.33,0.11,0.04,0.96,0.06,0.01,0.33,0.22
2019-10,97.84,0.24,0.67,0.0,0.42,0.05,0.19,0.36,0.53,2.47,0.07,0.04,1.1,0.08,0.04,0.17,1.18
2019-11,73.08,0.17,0.6,0.0,0.11,0.06,0.07,0.31,0.34,1.74,0.1,0.05,0.81,0.1,0.0,0.18,0.27
2019-12,74.28,0.27,0.6,0.03,0.3,0.09,0.12,0.27,0.43,1.72,0.18,0.02,0.81,0.05,0.01,0.18,0.3
2020-01,138.42,0.39,1.26,0.04,0.8,0.17,0.3,1.02,1.04,3.62,0.28,0.08,1.69,0.05,0.04,0.43,0.53
2020-02,75.96,0.2,0.87,0.04,0.18,0.06,0.11,0.49,0.41,1.52,0.15,0.06,0.82,0.11,0.03,0.11,0.46
2020-03,81.54,0.27,0.67,0.02,0.08,0.11,0.15,0.32,0.33,1.71,0.1,0.03,0.84,0.18,0.03,0.11,0.33
2020-04,69.34,0.12,0.6,0.01,0.13,0.06,0.06,0.26,0.32,1.53,0.06,0.06,0.61,0.14,0.05,0.06,0.06
2020-05,68.51,0.19,0.76,0.02,0.08,0.05,0.09,0.32,0.2,1.71,0.09,0.11,0.6,0.09,0.03,0.05,0.11
2020-06,71.23,0.27,0.77,0.04,0.06,0.05,0.08,0.27,0.25,1.65,0.12,0.12,0.66,0.04,0.02,0.16,0.12
2020-07,66.47,0.27,0.93,0.03,0.09,0.04,0.13,0.21,0.3,1.54,0.11,0.18,0.66,0.07,0.03,0.09,0.16
2020-08,65.47,0.17,0.66,0.02,0.13,0.08,0.15,0.44,0.45,1.46,0.09,0.08,0.58,0.09,0.03,0.17,0.16
2020-09,80.38,0.2,0.86,0.03,0.1,0.15,0.24,0.63,0.53,1.7,0.13,0.17,0.73,0.05,0.01,0.24,0.4
2020-10,76.08,0.13,0.65,0.01,0.11,0.05,0.17,0.4,0.57,1.66,0.09,0.11,0.66,0.07,0.0,0.2,0.53
2020-11,70.07,0.14,0.42,0.01,0.14,0.07,0.16,0.33,0.5,1.31,0.09,0.07,0.64,0.1,0.0,0.28,0.19
2020-12,64.07,0.19,0.59,0.01,0.22,0.05,0.2,0.4,0.51,1.44,0.11,0.06,0.44,0.09,0.02,0.32,0.22
2021-01,77.42,0.28,0.77,0.0,0.2,0.02,0.1,0.29,0.29,1.9,0.13,0.23,0.56,0.05,0.01,0.17,0.15
2021-02,73.96,0.18,0.72,0.04,0.2,0.07,0.18,0.4,0.44,1.58,0.05,0.07,0.71,0.03,0.06,0.14,0.14
2021-03,78.62,0.33,0.84,0.03,0.23,0.05,0.11,0.37,0.48,1.76,0.07,0.14,0.73,0.07,0.05,0.14,0.21
2021-04,88.17,0.19,0.74,0.07,0.08,0.03,0.23,0.47,0.57,1.98,0.05,0.2,0.8,0.06,0.04,0.23,0.2
2021-05,93.01,0.26,0.64,0.07,0.09,0.06,0.26,0.53,0.51,2.02,0.35,0.11,0.89,0.03,0.03,0.87,0.14
2021-06,74.13,0.2,0.73,0.01,0.1,0.09,0.36,0.39,0.49,1.7,0.13,0.15,0.73,0.09,0.01,0.2,0.19
2021-07,58.42,0.18,0.52,0.01,0.06,0.08,0.11,0.22,0.21,1.25,0.06,0.12,0.54,0.02,0.0,0.17,0.13
2021-08,89.49,0.19,0.59,0.0,0.06,0.07,0.15,0.44,0.36,2.15,0.12,0.12,0.96,0.08,0.03,0.28,0.25
2021-09,80.7,0.27,0.84,0.02,0.1,0.07,0.12,0.23,0.64,1.92,0.07,0.2,1.03,0.08,0.02,0.14,0.13
2021-10,79.03,0.2,0.76,0.01,0.1,0.08,0.23,0.3,0.42,1.64,0.11,0.31,0.7,0.09,0.01,0.16,0.25
2021-11,86.57,0.17,0.8,0.02,0.13,0.13,0.39,0.72,0.63,1.86,0.08,0.23,1.0,0.04,0.0,0.24,0.36
2021-12,105.35,0.16,0.86,0.02,0.15,0.11,0.45,0.86,0.69,2.48,0.05,0.34,1.18,0.03,0.01,0.27,0.16
2022-01,138.67,0.33,0.8,0.01,0.22,0.25,0.88,1.24,1.12,3.32,0.06,0.21,1.72,0.17,0.01,0.14,0.19
2022-02,216.16,0.32,1.5,0.05,0.18,0.25,0.82,2.57,1.76,4.88,0.09,0.26,2.9,0.14,0.06,0.16,0.31
2022-03,318.95,0.72,2.47,0.07,0.46,0.39,1.02,2.66,1.98,6.9,0.25,0.37,3.91,0.26,0.1,0.6,0.88
2022-04,191.14,0.3,1.13,0.02,0.13,0.22,0.64,1.67,0.92,3.97,0.12,0.12,2.4,0.22,0.05,0.31,0.43
2022-05,142.26,0.42,1.01,0.02,0.05,0.09,0.36,1.05,0.72,3.15,0.14,0.33,1.69,0.14,0.09,0.21,0.41
2022-06,130.71,0.29,0.85,0.04,0.19,0.19,0.47,1.28,0.92,2.88,0.17,0.16,1.61,0.42,0.07,0.23,0.56
2022-07,117.18,0.2,0.81,0.02,0.42,0.19,0.34,0.89,0.54,2.59,0.19,0.18,1.13,0.19,0.1,0.35,0.63
2022-08,132.86,0.31,1.24,0.07,0.12,0.11,0.14,0.61,0.57,3.13,0.24,0.74,1.15,0.07,0.07,0.27,0.34
2022-09,131.99,0.43,1.14,0.04,0.11,0.13,0.43,0.99,0.67,2.93,0.07,0.31,1.35,0.09,0.03,0.16,0.47
2022-10,143.16,0.42,1.18,0.02,0.37,0.12,0.36,0.84,0.78,3.4,0.05,0.33,1.26,0.1,0.05,0.26,0.39
2022-11,116.72,0.37,1.12,0.01,0.17,0.11,0.28,0.7,0.58,2.7,0.22,0.39,1.09,0.09,0.4,0.09,0.48
2022-12,111.2,0.24,0.87,0.0,0.16,0.08,0.18,0.52,0.48,2.55,0.04,0.29,1.04,0.14,0.1,0.13,0.25
2023-01,104.27,0.29,0.67,0.01,0.04,0.2,0.2,0.9,0.56,2.41,0.06,0.16,1.08,0.15,0.03,0.2,0.24
2023-02,120.99,0.33,1.49,0.01,0.14,0.13,0.31,0.8,0.74,2.98,0.13,0.34,1.05,0.11,0.07,0.17,0.49
2023-03,105.39,0.36,1.41,0.02,0.37,0.08,0.18,0.64,0.42,2.62,0.05,0.37,0.91,0.06,0.06,0.32,0.22
2023-04,106.82,0.37,1.23,0.03,0.42,0.12,0.2,0.61,0.58,2.45,0.33,0.4,0.99,0.12,0.07,0.3,0.28
2023-05,108.47,0.3,1.08,0.01,0.33,0.12,0.19,0.62,0.53,2.51,0.24,0.35,1.08,0.07,0.08,0.2,0.36
2023-06,110.57,0.29,1.06,0.02,0.21,0.08,0.27,0.7,0.46,2.46,0.1,0.35,1.11,0.1,0.07,0.17,0.16
2023-07,107.26,0.39,0.98,0.02,0.09,0.14,0.21,0.71,0.52,2.48,0.09,0.29,1.02,0.1,0.05,0.32,0.48
2023-08,101.25,0.25,0.99,0.02,0.27,0.16,0.17,0.48,0.57,2.16,0.08,0.19,1.11,0.09,0.04,0.17,0.33
2023-09,98.84,0.51,1.09,0.06,0.25,0.08,0.11,0.45,0.56,2.23,0.13,0.22,1.18,0.1,0.1,0.2,0.39
2023-10,197.97,0.27,1.04,0.02,0.79,0.12,0.35,0.79,0.86,4.43,1.64,0.26,2.23,0.15,0.07,4.34,0.41
2023-11,156.49,0.28,0.92,0.04,0.29,0.08,0.18,0.33,0.56,3.72,1.21,0.34,1.45,0.11,0.26,3.18,0.23
2023-12,142.07,0.15,0.7,0.03,0.28,0.2,0.19,0.51,0.7,3.42,0.92,0.17,1.6,0.17,0.05,2.45,0.21
2024-01,159.76,0.34,0.97,0.04,0.56,0.34,0.18,0.54,0.63,3.85,1.01,0.26,1.88,0.03,0.06,2.78,0.34
2024-02,146.54,0.16,0.77,0.05,0.28,0.19,0.22,0.71,0.75,3.39,0.92,0.2,1.65,0.12,0.07,2.24,0.25
2024-03,132.66,0.27,0.88,0.03,0.2,0.09,0.36,0.66,0.77,2.94,0.64,0.18,1.38,0.21,0.04,1.87,0.23
2024-04,163.37,0.27,1.05,0.02,0.39,0.12,0.24,0.72,0.81,4.0,0.69,0.3,1.99,0.17,0.08,2.9,0.25
2024-05,128.88,0.26,0.93,0.02,0.25,0.12,0.22,0.48,0.62,3.06,0.67,0.23,1.23,0.17,0.04,1.7,0.17
2024-06,111.97,0.34,0.89,0.02,0.15,0.12,0.26,0.45,0.71,2.67,0.46,0.18,1.21,0.11,0.04,1.49,0.17
2024-07,90.94,0.17,0.68,0.02,0.14,0.06,0.12,0.42,0.45,2.08,0.27,0.15,1.04,0.11,0.03,1.06,0.15
