consignment_id,title,description,changes,cost_delta_pct,eta_delta_days
CN-26-0911,Switch to Coastline Carriers,Carrier with a 93% on-time record on the Bay of Bengal loop.,"{""carrier"": ""Coastline Carriers"", ""reliability_score"": ""^0.93"", ""lead_time_std_days"": ""*0.6""}",2.5,0
CN-26-0911,Tranship via Colombo,Leave Chittagong on the southern feeder and avoid the storm window in the northern Bay.,"{""route_via"": ""Colombo"", ""weather_risk_index"": ""*0.5"", ""port_congestion_index"": ""+8""}",1.8,4
CN-26-0911,Air freight from Dhaka,Fly the cartons from Dhaka (DAC) to London Stansted.,"{""mode"": ""Air"", ""carrier"": ""SkyBridge Air Cargo"", ""lead_time_days"": 10, ""lead_time_std_days"": 1.5, ""weather_risk_index"": ""*0.6""}",22.0,-20
CN-26-0914,Load at Dar es Salaam,"Move loading south to Dar es Salaam, away from the disrupted Mombasa corridor.","{""origin_port"": ""Dar es Salaam"", ""origin_country"": ""Tanzania"", ""geopolitical_risk_index"": ""*0.65"", ""port_congestion_index"": ""*0.8""}",2.0,3
CN-26-0914,Hold at origin for 10 days,Keep cargo bonded at Mombasa until the corridor stabilises.,"{""days_since_last_disruption"": ""+10"", ""geopolitical_risk_index"": ""*0.85""}",0.6,10
CN-26-0917,Load at Salalah,"Truck to Salalah and sail direct, avoiding the Strait of Hormuz approaches.","{""origin_port"": ""Salalah"", ""route_via"": ""Arabian Sea direct"", ""geopolitical_risk_index"": ""*0.6"", ""port_congestion_index"": ""*0.7""}",1.5,2
CN-26-0917,Switch to Crescent Marine,Premium carrier with a 97% on-time record on Gulf–India routes.,"{""carrier"": ""Crescent Marine"", ""reliability_score"": ""^0.97"", ""lead_time_std_days"": ""*0.7""}",1.2,0
CN-26-0920,Divert to Oakland,"Change the discharge port to Oakland while the vessel is still at sea, then truck south.","{""destination_port"": ""Oakland"", ""port_congestion_index"": ""*0.6"", ""lead_time_std_days"": ""*0.8""}",2.2,1
CN-26-0920,Priority berth at Long Beach,Discharge at Long Beach with a pre-booked priority berth.,"{""destination_port"": ""Long Beach"", ""port_congestion_index"": ""*0.5"", ""lead_time_std_days"": ""*0.5""}",1.2,-2
CN-26-0922,Switch to Andes Line,"Carrier with a 92% on-time record Callao–Europe, discharging at Antwerp.","{""carrier"": ""Andes Line"", ""destination_port"": ""Antwerp"", ""destination_country"": ""Belgium"", ""reliability_score"": ""^0.92"", ""port_congestion_index"": ""*0.75""}",1.5,2
CN-26-0922,Delay loading by one week,Let Callao clear the backlog from this week's disruption before loading.,"{""days_since_last_disruption"": ""+7"", ""port_congestion_index"": ""*0.8""}",0.4,7
CN-26-0925,Discharge at Philadelphia,"Switch the discharge port to Philadelphia, which has shorter berth queues this month.","{""destination_port"": ""Philadelphia"", ""port_congestion_index"": ""*0.8""}",0.8,1
CN-26-0925,Pre-book inland trucking at Newark,Reserve trucks now so the spindles leave the terminal on the day they land.,"{""lead_time_std_days"": ""*0.6""}",0.4,-1
CN-26-0928,Rail intermodal via Laredo,"Cross-border rail from Columbus via Laredo. Cheaper, slightly slower.","{""mode"": ""Rail"", ""carrier"": ""Borderline Intermodal"", ""route_via"": ""Laredo"", ""lead_time_std_days"": ""*0.7""}",-3.0,2
CN-26-0928,"Team drivers, non-stop",Two-driver truck with no overnight stop.,"{""carrier"": ""Interstate Haulage Co. (team)"", ""lead_time_std_days"": ""*0.6"", ""reliability_score"": ""^0.9""}",4.0,-1
