disruption_id,date,supplier_id,disruption_reason,duration_days,recovery_cost_usd
DIS_001,2026-06-09,SUP_001,Raw material shortage,11,1466362.0
DIS_002,2026-07-05,SUP_001,Geopolitical / customs hold,13,744315.0
DIS_003,2026-07-17,SUP_001,Severe weather,8,728099.0
DIS_004,2026-07-18,SUP_001,Severe weather,7,477689.0
DIS_005,2026-07-24,SUP_001,Severe weather,6,413960.0
DIS_006,2026-06-25,SUP_002,Geopolitical / customs hold,15,21501.0
DIS_007,2026-06-02,SUP_003,Port congestion,13,1688220.0
DIS_008,2026-06-05,SUP_003,Port congestion,12,3122654.0
DIS_009,2026-06-13,SUP_003,Geopolitical / customs hold,11,1700800.0
DIS_010,2026-06-20,SUP_003,Severe weather,2,364291.0
DIS_011,2026-06-29,SUP_003,Severe weather,8,821525.0
DIS_012,2026-07-07,SUP_003,Raw material shortage,10,1943531.0
DIS_013,2026-07-11,SUP_003,Port congestion,5,686230.0
DIS_014,2026-07-12,SUP_003,Geopolitical / customs hold,8,1388092.0
DIS_015,2026-07-16,SUP_003,Supplier capacity shortfall,6,1092628.0
DIS_016,2026-07-21,SUP_003,Geopolitical / customs hold,9,1296716.0
DIS_017,2026-07-22,SUP_003,Geopolitical / customs hold,10,1686213.0
DIS_018,2026-07-23,SUP_003,Severe weather,6,1047223.0
DIS_019,2026-07-27,SUP_003,Severe weather,3,599576.0
DIS_020,2026-07-03,SUP_006,Port congestion,15,256768.0
DIS_021,2026-07-06,SUP_006,Geopolitical / customs hold,2,20868.0
DIS_022,2026-07-12,SUP_006,Port congestion,5,83985.0
DIS_023,2026-07-15,SUP_006,Port congestion,2,23755.0
DIS_024,2026-07-24,SUP_006,Geopolitical / customs hold,17,217419.0
DIS_025,2026-07-25,SUP_006,Geopolitical / customs hold,10,145997.0
DIS_026,2026-08-01,SUP_006,Supplier capacity shortfall,2,13819.0
DIS_027,2026-08-12,SUP_006,Severe weather,7,81067.0
DIS_028,2026-08-27,SUP_006,Supplier capacity shortfall,3,47859.0
DIS_029,2026-08-14,SUP_007,Severe weather,15,44905.0
DIS_030,2026-09-05,SUP_007,Port congestion,3,10541.0
DIS_031,2026-09-07,SUP_007,Labour strike,6,27049.0
DIS_032,2026-09-09,SUP_007,Quality rejection,9,47376.0
DIS_033,2026-09-11,SUP_007,Port congestion,11,40683.0
DIS_034,2026-09-12,SUP_007,Severe weather,13,35552.0
DIS_035,2026-07-13,SUP_008,Severe weather,17,35759.0
DIS_036,2026-07-15,SUP_008,Raw material shortage,2,6382.0
