consignment_id,cargo,product_category,mode,origin_port,origin_country,region,destination_port,destination_country,destination_region,dispatch_date,eta_date,lead_time_days,weight_t,units,average_cost_per_unit,distance_km,fuel_price_index,geopolitical_risk_index,reliability_score,weather_condition,weather_risk_index,weather_risk_level,supplier_id,supplier_name
SC-11018,Consumer electronics,Electronics,Sea,Dubai,United Arab Emirates,Middle East,Busan,South Korea,East Asia,2025-12-06,2026-01-04,29,273.58,341975,48.0,13774.6,2.51,99.0,0.562,Fog,45.0,medium,SUP00035,Eco Nano GmbH
SC-10853,Pharmaceutical products,Pharmaceuticals,Rail,Hamburg,Germany,Europe,Rotterdam,Netherlands,Europe,2025-12-08,2025-12-22,14,432.03,1728120,10.0,13521.8,3.82,90.0,0.985,Storm,75.0,high,SUP00038,Vertex Delta Inc
SC-12536,Automotive parts,Automotive,Sea,Los Angeles,United States,North America,Hamburg,Germany,Europe,2025-12-10,2026-01-02,23,394.73,65788,60.0,11236.9,3.38,14.0,0.667,Hurricane,95.0,high,SUP00097,Beta Pioneer Inc
SC-13292,Consumer electronics,Electronics,Sea,Antwerp,Belgium,Europe,Rotterdam,Netherlands,Europe,2025-12-10,2025-12-23,13,36.39,45488,48.0,6146.4,3.01,37.0,0.785,Hurricane,95.0,high,SUP00006,Apex Fusion Ltd
SC-14845,Apparel and textiles,Textiles,Sea,Shanghai,China,East Asia,Busan,South Korea,East Asia,2025-12-12,2025-12-25,13,204.0,510000,4.8,6187.2,3.8,4.0,0.677,Storm,75.0,high,SUP00073,Omega Beta Corp
SC-12070,Apparel and textiles,Textiles,Road,Singapore,Singapore,Southeast Asia,Shanghai,China,East Asia,2025-12-13,2025-12-24,11,183.16,457900,4.8,11472.9,2.73,35.0,0.652,Fog,45.0,medium,SUP00005,Ultra Gamma LLC
SC-14174,Consumer electronics,Electronics,Rail,Rotterdam,Netherlands,Europe,Hamburg,Germany,Europe,2025-12-18,2026-01-01,14,137.68,172100,48.0,13167.5,4.28,18.0,0.818,Clear,10.0,low,SUP00035,Eco Nano GmbH
SC-12193,Automotive parts,Automotive,Road,Antwerp,Belgium,Europe,Hamburg,Germany,Europe,2025-12-21,2025-12-29,8,89.03,14838,60.0,8626.4,3.14,46.0,0.632,Clear,10.0,low,SUP00052,Ultra Prime Inc
SC-13425,Chilled food produce,Perishables,Air,Rotterdam,Netherlands,Europe,Los Angeles,United States,North America,2025-12-21,2025-12-22,1,155.32,15532,35.0,9483.1,3.83,39.0,0.946,Clear,10.0,low,SUP00024,Quantum Fusion Corp
SC-14976,Automotive parts,Automotive,Air,Antwerp,Belgium,Europe,Marseille,France,Europe,2025-12-22,2025-12-23,1,243.19,40532,60.0,2290.0,3.0,2.0,0.533,Fog,45.0,medium,SUP00083,Vertex Beta LLC
