supplier_id,supplier_name,country,region,on_time_rate,certification,preferred,po_count,po_on_time,po_mean_delay_days
SUP00001,Beta Gamma Corp,USA,West,0.75,,0,16,0.438,4.0
SUP00002,Eco Gamma GmbH,China,South,0.8,ISO 9001,0,12,0.5,2.83
SUP00003,Ultra Ultra GmbH,India,Central,0.62,ISO 14001,1,24,0.125,3.38
SUP00004,Gamma Nova LLC,USA,North,0.66,ISO 9001,0,11,0.091,3.0
SUP00005,Ultra Gamma LLC,Canada,North,0.89,ISO 9001,1,26,0.423,3.73
SUP00006,Apex Fusion Ltd,USA,East,0.63,ISO 14001,1,16,0.438,2.89
SUP00007,Fusion Gamma LLC,China,East,0.84,ISO 9001,1,14,0.214,3.18
SUP00008,Omega Gamma Ltd,USA,Central,0.7,,0,8,0.5,2.25
SUP00009,Nano Vertex LLC,China,North,0.75,ISO 9001,1,16,0.375,3.8
SUP00010,Nova Alpha Corp,Denmark,Central,0.71,,0,19,0.368,4.5
SUP00011,Alpha Prime Ltd,UK,East,0.74,,1,22,0.455,3.42
SUP00012,Delta Vertex LLC,China,East,0.88,,0,17,0.176,3.07
SUP00013,Fusion Fusion LLC,China,North,0.72,ISO 45001,1,20,0.4,3.0
SUP00014,Ultra Apex LLC,Germany,West,0.82,ISO 9001,0,25,0.32,2.71
SUP00015,Ultra Eco LLC,China,South,0.79,ISO 14001,1,26,0.269,2.89
SUP00016,Prime Gamma Inc,China,East,0.86,ISO 14001,0,18,0.333,4.0
SUP00017,Nova Alpha Ltd,India,East,0.97,ISO 9001,0,23,0.261,3.18
SUP00018,Omega Alpha Corp,UK,West,0.89,ISO 45001,0,20,0.35,3.38
SUP00019,Delta Fusion Corp,Denmark,West,0.68,ISO 45001,0,19,0.526,2.33
SUP00020,Gamma Quantum LLC,Canada,Central,0.61,,1,23,0.304,3.12
SUP00021,Nova Eco LLC,Germany,Central,0.7,ISO 9001,1,23,0.348,3.2
SUP00022,Fusion Fusion Inc,India,South,0.83,ISO 9001,0,13,0.462,3.0
SUP00023,Nova Beta Corp,Brazil,South,0.62,ISO 14001,1,22,0.591,4.44
SUP00024,Quantum Fusion Corp,UK,North,0.79,ISO 9001,0,19,0.474,3.1
SUP00025,Fusion Vertex Inc,Denmark,Central,0.83,ISO 45001,0,27,0.519,2.85
SUP00026,Quantum Eco LLC,Denmark,East,0.73,ISO 9001,1,20,0.2,3.19
SUP00027,Fusion Delta LLC,Brazil,Central,0.9,ISO 14001,0,25,0.36,3.0
SUP00028,Beta Eco Ltd,Canada,East,0.64,,0,17,0.471,3.33
SUP00029,Omega Vertex Inc,China,West,0.63,ISO 14001,1,17,0.471,3.78
SUP00030,Prime Omega Corp,India,Central,0.88,ISO 14001,0,19,0.474,2.7
SUP00031,Vertex Vertex Inc,USA,West,0.79,,0,24,0.292,3.59
SUP00032,Prime Vertex Inc,Germany,South,0.87,ISO 14001,0,18,0.556,3.12
SUP00033,Quantum Quantum Ltd,USA,South,0.77,ISO 14001,0,19,0.158,3.5
SUP00034,Delta Quantum GmbH,Brazil,North,0.7,ISO 9001,1,20,0.45,3.36
SUP00035,Eco Nano GmbH,Denmark,Central,0.92,ISO 9001,1,25,0.36,3.88
SUP00036,Apex Ultra Ltd,Canada,West,0.91,,1,14,0.357,3.67
SUP00037,Nova Gamma Ltd,Denmark,East,0.87,ISO 9001,0,22,0.409,3.31
SUP00038,Vertex Delta Inc,Germany,South,0.71,ISO 9001,0,24,0.417,4.14
SUP00039,Nova Nano GmbH,Denmark,South,0.83,ISO 14001,1,25,0.44,3.57
SUP00040,Omega Nova GmbH,Denmark,East,0.74,ISO 45001,0,21,0.238,4.0
SUP00041,Gamma Nano Corp,Germany,West,0.64,ISO 9001,0,21,0.429,3.83
SUP00042,Omega Nova Corp,India,West,0.96,ISO 45001,0,19,0.263,3.14
SUP00043,Vertex Fusion Inc,India,Central,0.65,ISO 9001,0,16,0.312,3.91
SUP00044,Gamma Quantum LLC,Germany,Central,0.97,ISO 9001,1,18,0.389,3.64
SUP00045,Pioneer Alpha Corp,Canada,North,0.77,,1,16,0.25,4.08
SUP00046,Vertex Apex Ltd,Brazil,South,0.67,,1,22,0.5,2.55
SUP00047,Eco Vertex Ltd,UK,Central,0.81,,0,13,0.462,3.43
SUP00048,Delta Gamma Corp,Denmark,West,0.94,ISO 45001,1,21,0.286,3.13
SUP00049,Vertex Delta LLC,Canada,East,0.89,ISO 14001,1,19,0.368,3.58
SUP00050,Prime Gamma GmbH,Denmark,West,0.91,ISO 9001,0,16,0.312,2.73
SUP00051,Apex Omega LLC,UK,South,0.86,ISO 9001,0,18,0.222,3.64
SUP00052,Ultra Prime Inc,Brazil,West,0.87,ISO 9001,1,25,0.32,3.53
SUP00053,Apex Quantum Inc,India,North,0.93,ISO 45001,1,18,0.444,4.3
SUP00054,Ultra Fusion Corp,Canada,South,0.7,,1,22,0.364,3.79
SUP00055,Eco Pioneer Corp,China,East,0.79,ISO 14001,1,22,0.318,3.4
SUP00056,Prime Prime Corp,China,North,0.69,ISO 45001,0,20,0.6,3.38
SUP00057,Nova Alpha Inc,UK,South,0.99,,1,12,0.417,3.71
SUP00058,Eco Prime Corp,China,East,0.97,ISO 45001,1,22,0.5,3.91
