day,gprd,ma7,ma30,event
2023-08-20,43.7,97.6,97.6,
2023-08-21,97.2,95.1,99.7,
2023-08-22,81.1,90.3,100.7,
2023-08-23,126.7,93.8,100.2,
2023-08-24,61.6,86.0,100.2,
2023-08-25,40.3,80.7,98.7,
2023-08-26,86.0,76.6,97.1,
2023-08-27,41.9,76.4,94.2,
2023-08-28,75.4,73.3,94.3,
2023-08-29,115.6,78.2,97.8,
2023-08-30,163.3,83.4,98.1,
2023-08-31,117.4,91.4,98.1,
2023-09-01,73.5,96.2,96.2,
2023-09-02,59.1,92.3,95.2,
2023-09-03,16.4,88.7,91.7,
2023-09-04,100.6,92.3,91.8,
2023-09-05,121.8,93.2,94.9,
2023-09-06,76.6,80.8,93.5,
2023-09-07,80.3,75.5,92.6,
2023-09-08,80.1,76.4,91.7,
2023-09-09,44.4,74.3,88.8,
2023-09-10,16.6,74.4,84.6,
2023-09-11,93.5,73.4,83.8,
2023-09-12,165.0,79.5,87.3,
2023-09-13,134.8,87.8,87.9,
2023-09-14,125.6,94.3,88.3,
2023-09-15,106.7,98.1,88.4,
2023-09-16,79.5,103.1,87.2,
2023-09-17,64.3,109.9,86.8,
2023-09-18,114.7,112.9,86.8,
2023-09-19,207.4,119.0,92.2,
2023-09-20,190.1,126.9,95.4,
2023-09-21,162.9,132.2,98.1,
2023-09-22,131.6,135.8,98.2,
2023-09-23,70.0,134.4,98.5,
2023-09-24,66.4,134.7,99.4,
2023-09-25,110.0,134.1,100.2,
2023-09-26,81.2,116.0,101.5,
2023-09-27,101.5,103.4,102.4,
2023-09-28,64.4,89.3,100.7,
2023-09-29,86.4,82.8,98.1,
2023-09-30,82.6,84.6,96.9,
2023-10-01,39.0,80.7,95.8,
2023-10-02,63.6,74.1,95.9,
2023-10-03,107.0,77.8,99.0,
2023-10-04,61.2,72.0,97.6,
2023-10-05,54.3,70.6,95.4,
2023-10-06,161.3,81.3,98.2,
2023-10-07,54.1,77.2,97.4,
2023-10-08,75.7,82.5,97.2,
2023-10-09,227.1,105.8,103.3,
2023-10-10,259.1,127.6,111.4,
2023-10-11,265.9,156.8,117.1,
2023-10-12,218.0,180.2,118.9,
2023-10-13,287.3,198.2,124.0,
2023-10-14,216.4,221.4,127.0,
2023-10-15,154.5,232.6,128.6,
2023-10-16,290.3,241.6,135.6,
2023-10-17,274.5,243.8,142.6,
2023-10-18,333.0,253.4,149.9,
2023-10-19,338.8,270.7,154.3,
2023-10-20,299.1,272.4,157.9,
2023-10-21,251.5,277.4,160.9,
2023-10-22,105.2,270.4,160.0,
2023-10-23,313.4,273.7,168.1,
2023-10-24,250.0,270.2,174.2,
2023-10-25,208.1,252.3,177.5,
2023-10-26,168.4,228.0,180.4,
2023-10-27,253.1,221.4,185.4,
2023-10-28,173.5,210.3,189.1,
2023-10-29,133.1,214.2,190.6,
2023-10-30,205.4,198.8,194.7,
2023-10-31,172.1,187.7,199.2,
2023-11-01,251.3,193.9,205.4,
2023-11-02,219.6,201.2,209.2,
2023-11-03,174.9,190.0,213.0,
2023-11-04,152.0,186.9,216.2,
2023-11-05,93.0,181.2,214.0,
2023-11-06,182.9,178.0,218.2,
2023-11-07,140.2,173.4,220.4,
2023-11-08,132.5,156.4,217.2,
2023-11-09,201.5,153.8,215.3,
2023-11-10,181.0,154.7,212.5,
2023-11-11,161.7,156.1,210.6,
2023-11-12,128.4,161.2,205.3,
2023-11-13,131.0,153.8,202.5,
2023-11-14,148.2,154.9,202.3,
2023-11-15,130.6,154.6,196.9,
2023-11-16,170.9,150.3,193.5,
2023-11-17,149.5,145.8,187.4,
2023-11-18,111.7,138.6,179.8,
2023-11-19,101.6,134.8,173.2,
2023-11-20,204.9,145.3,171.7,
2023-11-21,96.5,137.9,171.4,
2023-11-22,191.4,146.6,167.3,
2023-11-23,175.4,147.3,164.8,
2023-11-24,152.8,147.8,163.0,
2023-11-25,125.1,149.7,161.5,
2023-11-26,87.9,147.7,156.0,
2023-11-27,166.4,142.2,155.8,
2023-11-28,184.4,154.8,157.5,
2023-11-29,88.8,140.1,153.6,
2023-11-30,178.9,140.6,153.8,
2023-12-01,94.8,132.3,148.6,
2023-12-02,122.1,131.9,145.4,
2023-12-03,110.7,135.2,143.2,
2023-12-04,195.2,139.3,144.7,
2023-12-05,89.7,125.8,144.6,
2023-12-06,131.4,131.8,142.8,
2023-12-07,193.8,134.0,144.6,
2023-12-08,153.5,142.4,145.3,
2023-12-09,106.3,140.1,142.2,
2023-12-10,124.1,142.0,140.3,
2023-12-11,153.8,136.1,140.0,
2023-12-12,167.4,147.2,141.3,
2023-12-13,192.8,156.0,143.4,
2023-12-14,148.7,149.5,143.4,
