Shipment_ID,Cargo,Product_Category,Supplier_ID,Supplier,Origin_Port,Origin_Country,Destination_Port,Destination_Country,Transport_Mode,Weight_MT,Distance_km,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Dispatch_Date,ETA_Date,Route,Journey_Status,Journey,Journey_Progress_Pct,Days_To_ETA,Trend_30d,Trend_Direction,Trend_Min,Trend_Max,Trend_Avg,Risk_Score,Risk_Level,Top_Driver,Cargo_Value_USD,Expected_Loss_USD,Best_Alternative,Alternative_Risk_Score,Alternative_Risk_Level,Alternative_Net_Benefit_USD,Alternative_ETA_Change_Days,Recommended_Actions
SC-12198,Consumer electronics,Electronics,SUP00100,Nano Ultra Corp,Antwerp,Belgium,Hamburg,Germany,Sea,466.29,8426.4,2.17,1.0,Hurricane,0.813,2025-12-11,2025-12-28,Antwerp → Hamburg,In transit,In transit · day 9 of 17,53,8,41 38 100 70 77 29 100 100 39 51 13 100 16 80 99 44 42 85 46 96 46 99 68 40 91 46 96 56 99 52,Rising,13,100,65,99.4,High,Weather conditions,27977376.0,5953675.0,Wait for the weather window,19.0,Low,4648205.0,5.0,Reschedule around the weather window | Add a schedule buffer to the delivery promise | Pre-position buffer stock at the destination
SC-11859,Consumer electronics,Electronics,SUP00061,Vertex Delta LLC,Rotterdam,Netherlands,Antwerp,Belgium,Road,317.31,11063.1,3.7,2.8,Storm,0.556,2025-12-16,2025-12-26,Rotterdam → Antwerp,In transit,In transit · day 4 of 10,40,6,95 84 89 100 19 56 51 42 10 31 48 35 100 21 93 100 36 100 58 40 39 99 30 18 62 82 96 84 100 80,Rising,10,100,63,79.5,High,Weather conditions,19038624.0,1677565.0,Wait for the weather window,37.8,Low,766269.0,3.0,Reschedule around the weather window | Add a schedule buffer to the delivery promise | Pre-position buffer stock at the destination | Switch to a higher-reliability carrier | Lock the freight rate and fuel surcharge
SC-14232,Consumer electronics,Electronics,SUP00083,Vertex Beta LLC,Singapore,Singapore,Shanghai,China,Sea,464.04,5700.0,1.88,3.3,Storm,0.584,2025-12-11,2025-12-23,Singapore → Shanghai,In transit,In transit · day 9 of 12,75,3,31 50 44 92 96 44 79 74 21 39 48 13 56 40 32 63 90 34 100 43 97 96 55 38 74 50 100 76 83 49,Rising,13,100,60,76.4,High,Weather conditions,27842400.0,4553958.0,Wait for the weather window,35.2,Low,2291556.0,3.0,Reschedule around the weather window | Add a schedule buffer to the delivery promise | Pre-position buffer stock at the destination | Switch to a higher-reliability carrier
SC-13731,Apparel and textiles,Textiles,SUP00079,Delta Prime Inc,Dubai,United Arab Emirates,Rotterdam,Netherlands,Sea,371.92,14537.1,2.25,8.6,Clear,0.662,2025-12-04,2026-01-03,Dubai → Rotterdam,In transit,In transit · day 16 of 30,53,14,62 67 34 35 71 92 31 19 16 99 99 86 92 49 57 52 22 100 43 36 44 57 30 54 74 60 64 100 73 74,Rising,16,100,60,73.3,High,Geopolitical risk,4463040.0,699954.0,Reroute through a lower-risk corridor,48.5,Elevated,156588.0,4.0,Reroute through a lower-risk corridor or port | Add a schedule buffer to the delivery promise | Pre-position buffer stock at the destination | Switch to a higher-reliability carrier | Confirm cargo readiness with the supplier
SC-12222,Chilled food produce,Perishables,SUP00076,Eco Eco Ltd,Rotterdam,Netherlands,Dubai,United Arab Emirates,Sea,66.65,1899.8,1.85,9.2,Clear,0.527,2025-12-18,2025-12-22,Rotterdam → Dubai,In transit,In transit · day 2 of 4,50,2,48 23 26 86 53 86 100 39 40 58 16 85 40 100 31 26 41 96 50 81 13 47 100 54 88 76 91 75 66 58,Rising,13,100,60,58.1,Elevated,Geopolitical risk,233275.0,29010.0,Book a top-decile carrier,40.6,Elevated,4083.0,0.0,Reroute through a lower-risk corridor or port | Add a schedule buffer to the delivery promise | Switch to a higher-reliability carrier | Confirm cargo readiness with the supplier
SC-14031,Apparel and textiles,Textiles,SUP00058,Eco Prime Corp,Shanghai,China,Rotterdam,Netherlands,Sea,355.39,4424.3,3.89,5.5,Rain,0.589,2025-12-14,2025-12-23,Shanghai → Rotterdam,In transit,In transit · day 6 of 9,67,3,40 48 72 52 98 100 89 86 97 100 39 100 81 100 85 96 100 94 82 28 38 69 21 10 46 100 32 100 100 51,Falling,10,100,72,50.6,Elevated,Carrier reliability,4264680.0,461419.0,Book a top-decile carrier,37.6,Low,33364.0,0.0,Add a schedule buffer to the delivery promise | Switch to a higher-reliability carrier | Lock the freight rate and fuel surcharge
SC-14413,Chilled food produce,Perishables,SUP00085,Beta Delta LLC,Busan,South Korea,Shanghai,China,Sea,56.09,9806.4,1.94,3.7,Fog,0.767,2025-12-04,2025-12-24,Busan → Shanghai,In transit,In transit · day 16 of 20,80,4,36 91 100 100 45 48 93 48 100 44 23 100 16 54 85 34 48 42 100 44 84 100 50 63 42 68 57 64 42 93,Steady,16,100,64,42.1,Elevated,Route distance,196315.0,17706.0,No cheaper option than the mitigations,,,,,Add a schedule buffer to the delivery promise | Confirm cargo readiness with the supplier
SC-10095,Automotive parts,Automotive,SUP00003,Ultra Ultra GmbH,Busan,South Korea,Dubai,United Arab Emirates,Sea,219.51,7660.0,2.46,4.9,Rain,0.788,2025-12-05,2025-12-21,Busan → Dubai,In transit,In transit · day 15 of 16,94,1,100 34 67 90 58 39 56 51 31 71 34 67 100 97 92 64 75 41 48 94 22 99 81 90 52 41 18 39 56 67,Steady,18,100,62,39.1,Low,Geopolitical risk,2195100.0,183672.0,Stay on current plan,,,,,Confirm cargo readiness with the supplier
SC-13358,Chilled food produce,Perishables,SUP00055,Eco Pioneer Corp,Shanghai,China,Hamburg,Germany,Sea,26.79,12416.6,4.08,1.6,Fog,0.913,2025-12-08,2026-01-03,Shanghai → Hamburg,In transit,In transit · day 12 of 26,46,14,69 54 93 58 100 100 100 65 100 99 73 93 8 100 37 47 45 21 31 36 65 17 35 27 100 18 100 59 27 100,Falling,8,100,63,27.2,Low,Fuel price,93765.0,5450.0,Stay on current plan,,,,,Confirm cargo readiness with the supplier | Lock the freight rate and fuel surcharge
SC-14876,Automotive parts,Automotive,SUP00044,Gamma Quantum LLC,Hamburg,Germany,Singapore,Singapore,Sea,30.03,9213.7,1.27,1.4,Rain,0.991,2025-12-21,2026-01-09,Hamburg → Singapore,Scheduled,Departs 2025-12-21,0,20,29 76 44 39 67 97 94 42 51 45 76 100 67 15 100 100 98 56 30 46 66 27 99 39 100 43 39 38 54 54,Steady,15,100,61,6.3,Low,Route distance,300300.0,4023.0,Stay on current plan,,,,,Stay on the current plan
